id,state_name,constituency_name,state_name_dm,constituency_name_dm
180,Madhya Pradesh-S12,GWALIOR,madhya pradesh,gwalior
181,Madhya Pradesh-S12,GUNA,madhya pradesh,guna
182,Madhya Pradesh-S12,SAGAR,madhya pradesh,sagar
183,Madhya Pradesh-S12,TIKAMGARH,madhya pradesh,tikamgarh
184,Madhya Pradesh-S12,DAMOH,madhya pradesh,damoh
185,Madhya Pradesh-S12,KHAJURAHO,madhya pradesh,khajuraho
186,Madhya Pradesh-S12,SATNA,madhya pradesh,satna
187,Madhya Pradesh-S12,REWA,madhya pradesh,rewa
188,Madhya Pradesh-S12,SIDHI,madhya pradesh,sidhi
189,Madhya Pradesh-S12,SHAHDOL,madhya pradesh,shahdol
190,Madhya Pradesh-S12,JABALPUR,madhya pradesh,jabalpur
191,Madhya Pradesh-S12,MANDLA,madhya pradesh,mandla
192,Madhya Pradesh-S12,BALAGHAT,madhya pradesh,balaghat
193,Madhya Pradesh-S12,CHHINDWARA,madhya pradesh,chhindwara
194,Madhya Pradesh-S12,HOSHANGABAD,madhya pradesh,hoshangabad
195,Madhya Pradesh-S12,VIDISHA,madhya pradesh,vidisha
196,Madhya Pradesh-S12,BHOPAL,madhya pradesh,bhopal
197,Madhya Pradesh-S12,RAJGARH,madhya pradesh,rajgarh
198,Madhya Pradesh-S12,DEWAS,madhya pradesh,dewas
199,Madhya Pradesh-S12,UJJAIN,madhya pradesh,ujjain
200,Madhya Pradesh-S12,MANDSOUR,madhya pradesh,mandsaur
201,Madhya Pradesh-S12,RATLAM,madhya pradesh,ratlam
202,Madhya Pradesh-S12,DHAR,madhya pradesh,dhar
203,Madhya Pradesh-S12,INDORE,madhya pradesh,indore
204,Madhya Pradesh-S12,KHARGONE,madhya pradesh,khargone
205,Madhya Pradesh-S12,KHANDWA,madhya pradesh,khandwa
206,Madhya Pradesh-S12,BETUL,madhya pradesh,betul
207,Maharashtra-S13,Nandurbar,maharashtra,nandurbar
208,Maharashtra-S13,Dhule,maharashtra,dhule
209,Maharashtra-S13,Jalgaon,maharashtra,jalgaon
210,Maharashtra-S13,Raver,maharashtra,raver
211,Maharashtra-S13,Buldhana,maharashtra,buldhana
