sheet,state_name,constituency_name,number_of_polling_stations,dates_polling,dates_counting,dates_results,result_winner_name,result_winner_party,result_winner_votes,result_runner_up_name,result_runner_up_party,result_runner_up_votes,result_margin,candidate_Nominated_m,candidate_Nomination Rejected_m,candidate_Withdrawn_m,candidate_Contested_m,candidate_Forfeited Deposit_m,candidate_Nominated_w,candidate_Nomination Rejected_w,candidate_Withdrawn_w,candidate_Contested_w,candidate_Forfeited Deposit_w,candidate_Nominated_t,candidate_Nomination Rejected_t,candidate_Withdrawn_t,candidate_Contested_t,candidate_Forfeited Deposit_t,candidate_Nominated_total,candidate_Nomination Rejected_total,candidate_Withdrawn_total,candidate_Contested_total,candidate_Forfeited Deposit_total,elector_General_m,elector_OverSeas_m,elector_Service_m,elector_Total_m,elector_General_w,elector_OverSeas_w,elector_Service_w,elector_Total_w,elector_General_t,elector_OverSeas_t,elector_Service_t,elector_Total_t,elector_General_total,elector_OverSeas_total,elector_Service_total,elector_Total_total,voter_General_m,voter_Overseas_m,voter_Proxy_m,voter_Postal_m,voter_Total_m,voter_Votes Rejected due to other Reason_m,voter_POLLING PERCENTAGE_m,voter_General_w,voter_Overseas_w,voter_Proxy_w,voter_Postal_w,voter_Total_w,voter_Votes Rejected due to other Reason_w,voter_POLLING PERCENTAGE_w,voter_General_t,voter_Overseas_t,voter_Proxy_t,voter_Postal_t,voter_Total_t,voter_Votes Rejected due to other Reason_t,voter_POLLING PERCENTAGE_t,voter_General_total,voter_Overseas_total,voter_Proxy_total,voter_Postal_total,voter_Total_total,voter_Votes Rejected due to other Reason_total,voter_POLLING PERCENTAGE_total,votes_Total Votes Polled On EVM,votes_Total Deducted Votes From EVM,votes_Total Valid Votes polled on EVM,votes_Postal Votes Counted,votes_Postal Votes Deducted,votes_Valid Postal Votes,votes_Total Valid Votes Polled,votes_Test Votes polled On EVM,votes_Votes Polled for 'NOTA'(Including Postal),votes_Tendered Votes
S18-1,Odisha-S18,Bargarh-GEN,1895,18/04/2019,23/05/2019,24/05/2019,Suresh Pujari,Bharatiya Janata Party,581245,Prasanna Acharya,Biju Janata Dal,517306,63939,8,2,0,6,4,0,0,0,0,0,0,0,0,0,0,8,2,0,6,4,816699,1,1530,818230,777856,0,52,777908,152,0,0,152,1594707,1,1582,1596290,641109,0,NA,NA,NA,NA,NA,601959,0,NA,NA,NA,NA,NA,28,0,NA,NA,NA,NA,NA,1243096,0,0,7982,1251078,0,78.180000000000007,1243096,15203,1227893,7982,2130,5852,1233745,0,14167,0
S18-2,Odisha-S18,Sundargarh -ST,1853,18/04/2019,23/05/2019,24/05/2019,Jual Oram,Bharatiya Janata Party,500056,Sunita Biswal,Biju Janata Dal,276991,223065,9,1,2,6,4,2,0,0,2,1,0,0,0,0,0,11,1,2,8,5,764223,7,2330,766560,764639,3,198,764840,125,0,0,125,1528987,10,2528,1531525,546203,0,NA,NA,NA,NA,NA,551465,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,1097672,0,0,3377,1101049,0,71.829999999999998,1097672,13665,1084007,3377,930,2447,1086454,0,13675,0
S18-3,Odisha-S18,Sambalpur-GEN,1756,23/04/2019,23/05/2019,24/05/2019,NITESH GANGA DEB,Bharatiya Janata Party,473770,NALINI KANTA PRADHAN,Biju Janata Dal,464608,9162,11,1,0,10,8,1,0,0,1,1,0,0,0,0,0,12,1,0,11,9,741878,1,1501,743380,724990,0,55,725045,105,0,0,105,1466973,1,1556,1468530,564201,0,NA,NA,NA,NA,NA,556953,0,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,1121164,0,0,5498,1126662,0,76.569999999999993,1121164,13443,1107721,5498,2220,3278,1110999,0,13456,7
S18-4,Odisha-S18,Keonjhar -ST,1968,23/04/2019,23/05/2019,24/05/2019,Chandrani Murmu,Biju Janata Dal,526359,Ananta Nayak,Bharatiya Janata Party,460156,66203,10,2,1,7,6,1,0,0,1,0,0,0,0,0,0,11,2,1,8,6,760797,NA,1005,761802,754709,0,42,754751,135,0,0,135,1515641,0,1047,1516688,585675,0,NA,NA,NA,NA,NA,587849,0,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1173526,0,0,2953,1176479,0,77.560000000000002,1173526,19204,1154322,2953,190,2763,1157085,0,19207,0
S18-5,Odisha-S18,Mayurbhanj -ST,1891,29/04/2019,23/05/2019,24/05/2019,BISHWESWAR TUDU,Bharatiya Janata Party,483812,DR DEBASHIS MARNDI,Biju Janata Dal,458556,25256,8,1,1,6,4,2,0,0,2,2,0,0,0,0,0,10,1,1,8,6,741476,NA,2900,744376,748666,0,123,748789,40,0,0,40,1490182,0,3023,1493205,561844,0,NA,NA,NA,NA,NA,583667,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1145512,0,0,6181,1151693,0,77.040000000000006,1145512,21336,1124176,6181,1357,4824,1129000,0,21357,0
S18-6,Odisha-S18,Balasore-GEN,1639,29/04/2019,23/05/2019,24/05/2019,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,483858,RABINDRA KUMAR JENA,Biju Janata Dal,470902,12956,12,NA,1,11,9,1,0,0,1,1,0,0,0,0,0,13,0,1,12,10,782762,5,1806,784573,747026,2,104,747132,76,0,0,76,1529864,7,1910,1531781,577810,0,NA,NA,NA,NA,NA,576608,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1154421,0,0,4934,1159355,0,75.590000000000003,1154421,7422,1146999,4934,1498,3436,1150435,0,7436,0
S18-7,Odisha-S18,Bhadrak -SC,1793,29/04/2019,23/05/2019,24/05/2019,MANJULATA MANDAL,Biju Janata Dal,513045,AVIMANYU SETHI,Bharatiya Janata Party,484254,28791,6,2,0,4,3,4,0,0,4,2,0,0,0,0,0,10,2,0,8,5,859414,1,2716,862131,799297,0,109,799406,124,0,0,124,1658835,1,2825,1661661,599696,0,NA,NA,NA,NA,NA,620167,0,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,1219875,0,0,8171,1228046,0,73.730000000000004,1219875,6524,1213351,8171,2901,5270,1218621,0,6535,0
S18-8,Odisha-S18,Jajpur -SC,1627,29/04/2019,23/05/2019,23/05/2019,SARMISTHA SETHI,Biju Janata Dal,544020,AMIYA KANTA MALLICK,Bharatiya Janata Party,442327,101693,8,1,1,6,5,2,0,0,2,1,0,0,0,0,0,10,1,1,8,6,767456,NA,2296,769752,705100,0,95,705195,60,0,0,60,1472616,0,2391,1475007,556801,0,NA,NA,NA,NA,NA,529026,0,NA,NA,NA,NA,NA,21,0,NA,NA,NA,NA,NA,1085848,0,0,7117,1092965,0,74.040000000000006,1085848,7149,1078699,7117,893,6224,1084923,0,7161,18
S18-9,Odisha-S18,Dhenkanal-GEN,1713,23/04/2019,23/05/2019,23/05/2019,MAHESH SAHOO,Biju Janata Dal,522884,RUDRA NARAYAN PANY,Bharatiya Janata Party,487472,35412,8,NA,0,8,6,1,0,0,1,1,0,0,0,0,0,9,0,0,9,7,783151,1,3288,786440,717736,0,112,717848,115,0,0,115,1501002,1,3400,1504403,582956,0,NA,NA,NA,NA,NA,543693,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1126650,0,0,6563,1133213,0,75.209999999999994,1126650,11242,1115408,6563,1703,4860,1120268,0,11254,19
S18-10,Odisha-S18,Bolangir-GEN,2140,18/04/2019,23/05/2019,23/05/2019,Sangeeta Kumari Singh Deo,Bharatiya Janata Party,498086,Kalikesh Narayan Singh Deo,Biju Janata Dal,478570,19516,7,NA,0,7,5,1,0,0,1,0,0,0,0,0,0,8,0,0,8,5,900105,4,1457,901566,842728,1,27,842756,124,0,0,124,1742957,5,1484,1744446,667757,0,NA,NA,NA,NA,NA,636288,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1304050,0,0,2694,1306744,0,74.909999999999997,1304050,15989,1288061,2694,51,2643,1290704,0,16001,0
S18-11,Odisha-S18,Kalahandi-GEN,2015,11/04/2019,23/05/2019,24/05/2019,BASANTA KUMAR PANDA,Bharatiya Janata Party,433074,PUSPENDRA SINGH DEO,Biju Janata Dal,406260,26814,8,1,1,6,3,1,0,0,1,1,0,0,0,0,0,9,1,1,7,4,813638,NA,1006,814644,796276,0,19,796295,117,0,0,117,1610031,0,1025,1611056,608823,0,NA,NA,NA,NA,NA,614080,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1222906,0,0,8023,1230929,0,76.239999999999995,1222906,21172,1201734,8023,2664,5359,1207093,0,21199,0
S18-12,Odisha-S18,Nabarangpur -ST,1773,11/04/2019,23/05/2019,24/05/2019,RAMESH CHANDRA MAJHI,Biju Janata Dal,392504,PRADEEP KUMAR MAJHI,Indian National Congress,350870,41634,4,NA,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,716313,NA,384,716697,744186,0,10,744196,111,0,0,111,1460610,0,394,1461004,567769,0,NA,NA,NA,NA,NA,589399,0,NA,NA,NA,NA,NA,29,0,NA,NA,NA,NA,NA,1157197,0,0,4590,1161787,0,79.379999999999995,1157197,44580,1112617,4590,2089,2501,1115118,0,44582,0
S18-13,Odisha-S18,Kandhamal-GEN,1570,18/04/2019,23/05/2019,24/05/2019,ACHYUTANANDA SAMANTA,Biju Janata Dal,461679,Mahameghabahan Aira Kharabela Swain,Bharatiya Janata Party,312463,149216,8,3,0,5,3,0,0,0,0,0,0,0,0,0,0,8,3,0,5,3,648220,1,1297,649518,639038,0,26,639064,84,0,0,84,1287342,1,1323,1288666,471069,0,NA,NA,NA,NA,NA,468424,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,939498,0,0,2543,942041,0,73.099999999999994,939498,13247,926251,2543,62,2481,928732,0,13253,1
S18-14,Odisha-S18,Cuttack-GEN,1644,23/04/2019,23/05/2019,24/05/2019,BHARTRUHARI MAHTAB,Biju Janata Dal,524592,PRAKASH MISHRA,Bharatiya Janata Party,403391,121201,11,NA,0,11,9,0,0,0,0,0,0,0,0,0,0,11,0,0,11,9,793189,1,2789,795979,722707,0,117,722824,193,0,0,193,1516089,1,2906,1518996,555577,0,NA,NA,NA,NA,NA,501846,0,NA,NA,NA,NA,NA,21,0,NA,NA,NA,NA,NA,1057444,0,0,3015,1060459,0,69.75,1057444,7227,1050217,3015,978,2037,1052254,0,7236,0
S18-15,Odisha-S18,Kendrapara -GEN,1999,29/04/2019,23/05/2019,24/05/2019,Anubhav Mohanty,Biju Janata Dal,630179,BAIJAYANT PANDA,Bharatiya Janata Party,476598,153581,9,2,0,7,5,0,0,0,0,0,0,0,0,0,0,9,2,0,7,5,893120,NA,2666,895786,814874,0,133,815007,123,0,0,123,1708117,0,2799,1710916,625161,0,NA,NA,NA,NA,NA,609709,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1234873,0,0,3575,1238448,0,72.370000000000005,1234873,6585,1228288,3575,238,3337,1231625,0,6589,0
S18-16,Odisha-S18,Jagatsinghpur -SC,1886,29/04/2019,23/05/2019,24/05/2019,RAJASHREE MALLICK,Biju Janata Dal,619985,BIBHU PRASAD TARAI,Bharatiya Janata Party,348330,271655,6,NA,0,6,5,3,0,0,3,1,0,0,0,0,0,9,0,0,9,6,856841,3,2451,859295,784015,0,113,784128,172,0,0,172,1641028,3,2564,1643595,634022,0,NA,NA,NA,NA,NA,591593,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1225615,0,0,4212,1229827,0,74.790000000000006,1225615,6042,1219573,4212,652,3560,1223133,0,6057,0
S18-17,Odisha-S18,Puri-GEN,1769,23/04/2019,23/05/2019,24/05/2019,PINAKI MISRA,Biju Janata Dal,538321,Dr Sambit Patra,Bharatiya Janata Party,526607,11714,8,1,0,7,5,1,0,0,1,1,0,0,0,0,0,9,1,0,8,6,813147,NA,2668,815815,746312,0,115,746427,89,0,0,89,1559548,0,2783,1562331,584072,0,NA,NA,NA,NA,NA,548714,0,NA,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,1132803,0,0,3321,1136124,0,72.689999999999998,1132803,7210,1125593,3321,511,2810,1128403,0,7217,0
S18-18,Odisha-S18,Bhubaneswar-GEN,1656,23/04/2019,23/05/2019,24/05/2019,APARAJITA SARANGI,Bharatiya Janata Party,486991,Arup Mohan Patnaik,Biju Janata Dal,463152,23839,16,3,1,12,11,2,0,0,2,1,0,0,0,0,0,18,3,1,14,12,906863,2,1893,908758,790274,1,119,790394,526,0,0,526,1697663,3,2012,1699678,534680,0,NA,NA,NA,NA,NA,468962,0,NA,NA,NA,NA,NA,62,0,NA,NA,NA,NA,NA,1003704,0,0,1920,1005624,0,59.140000000000001,1003704,6148,997556,1920,417,1503,999059,0,6156,0
S18-19,Odisha-S18,Aska-GEN,1694,18/04/2019,23/05/2019,24/05/2019,Pramila Bisoyi,Biju Janata Dal,552749,Anita Subhadarshini,Bharatiya Janata Party,348042,204707,8,2,0,6,6,2,0,0,2,0,0,0,0,0,0,10,2,0,8,6,815764,1,1971,817736,723228,0,61,723289,120,0,0,120,1539112,1,2032,1541145,502075,0,NA,NA,NA,NA,NA,509462,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,1011541,0,0,2349,1013890,0,65.790000000000006,1011541,17330,994211,2349,42,2307,996518,0,17344,0
S18-20,Odisha-S18,Berhampur-GEN,1697,11/04/2019,23/05/2019,24/05/2019,CHANDRA SEKHAR SAHU,Biju Janata Dal,443843,BHRUGU BAXIPATRA,Bharatiya Janata Party,348999,94844,9,NA,1,8,6,0,0,0,0,0,0,0,0,0,0,9,0,1,8,6,757916,1,3168,761085,741219,0,71,741290,80,0,0,80,1499215,1,3239,1502455,486468,0,NA,NA,NA,NA,NA,500690,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,987163,0,0,2924,990087,0,65.890000000000001,987163,14363,972800,2924,195,2729,975529,0,14381,0
S18-21,Odisha-S18,Koraput -ST,1776,11/04/2019,23/05/2019,24/05/2019,SAPTAGIRI SANKAR ULAKA,Indian National Congress,371129,KAUSALYA HIKAKA,Biju Janata Dal,367516,3613,6,NA,0,6,4,1,0,0,1,0,0,0,0,0,0,7,0,0,7,4,685053,4,518,685575,748539,2,16,748557,252,0,0,252,1433844,6,534,1434384,517114,0,NA,NA,NA,NA,NA,559207,0,NA,NA,NA,NA,NA,51,0,NA,NA,NA,NA,NA,1076372,0,0,4297,1080669,0,75.299999999999997,1076372,36525,1039847,4297,544,3753,1043600,0,36561,7
S19-1,Punjab-S19,Gurdaspur-GEN,1826,19/05/2019,23/05/2019,23/05/2019,SUNNY DEOL,Bharatiya Janata Party,558719,SUNIL JAKHAR,Indian National Congress,476260,82459,21,5,1,15,13,2,2,0,0,0,0,0,0,0,0,23,7,1,15,13,827314,349,22098,849761,744986,93,400,745479,44,0,0,44,1572344,442,22498,1595284,560357,11,NA,NA,NA,NA,NA,533048,3,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1093414,14,0,11118,1104546,0,69.200000000000003,1093428,9474,1083954,11118,745,10373,1094327,0,9560,0
S19-2,Punjab-S19,Amritsar-GEN,1601,19/05/2019,23/05/2019,23/05/2019,GURJEET SINGH AUJLA,Indian National Congress,445032,HARDEEP SINGH PURI,Bharatiya Janata Party,345406,99626,33,4,0,29,27,1,0,0,1,1,0,0,0,0,0,34,4,0,30,28,794820,27,6792,801639,706025,10,143,706178,58,0,0,58,1500903,37,6935,1507875,466525,1,NA,NA,NA,NA,NA,390128,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,856657,1,0,3924,860582,0,57,856658,8713,847945,3924,1119,2805,850750,0,8763,1
S19-3,Punjab-S19,Khadoor Sahib-GEN,1902,19/05/2019,23/05/2019,23/05/2019,JASBIR SINGH GILL (DIMPA),Indian National Congress,459710,BIBI JAGIR KAUR,Shiromani Akali Dal,319137,140573,18,3,1,14,13,7,1,1,5,3,0,0,0,0,0,25,4,2,19,16,854212,297,13385,867894,770528,82,265,770875,73,0,0,73,1624813,379,13650,1638842,542158,1,NA,NA,NA,NA,NA,498469,0,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA,1040635,1,0,7514,1048150,0,63.829999999999998,1040636,5082,1035554,7514,2166,5348,1040902,0,5130,1
S19-4,Punjab-S19,Jalandhar-SC,1863,19/05/2019,23/05/2019,23/05/2019,Santokh Singh Chaudhary,Indian National Congress,385712,Charanjit Singh Atwal,Shiromani Akali Dal,366221,19491,21,3,0,18,15,3,2,0,1,1,0,0,0,0,0,24,5,0,19,16,841811,34,1753,843598,773292,14,94,773400,20,0,0,20,1615123,48,1847,1617018,519019,1,NA,NA,NA,NA,NA,499182,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1018208,1,0,1194,1019403,0,63.020000000000003,1018209,12301,1005908,1194,428,766,1006674,0,12324,3
S19-5,Punjab-S19,Hoshiarpur-SC,1911,19/05/2019,23/05/2019,23/05/2019,SOM PARKASH,Bharatiya Janata Party,421320,Dr. RAJ KUMAR CHABBEWAL,Indian National Congress,372790,48530,12,4,0,8,6,1,1,0,0,0,0,0,0,0,0,13,5,0,8,6,814396,102,17527,832025,765056,34,355,765445,30,0,0,30,1579482,136,17882,1597500,485078,0,NA,NA,NA,NA,NA,496757,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,981842,0,0,9823,991665,0,62.020000000000003,981842,12755,969087,9823,987,8836,977923,0,12868,1
S19-6,Punjab-S19,Anandpur Sahib-GEN,1943,19/05/2019,23/05/2019,23/05/2019,Manish Tewari,Indian National Congress,428045,Professor Prem Singh Chandumajra,Shiromani Akali Dal,381161,46884,28,5,2,21,19,7,2,0,5,5,0,0,0,0,0,35,7,2,26,24,880571,207,8728,889506,809059,54,215,809328,42,0,0,42,1689672,261,8943,1698876,553129,11,NA,NA,NA,NA,NA,524355,1,NA,NA,NA,NA,NA,25,0,NA,NA,NA,NA,NA,1077509,12,0,4503,1082024,0,63.670000000000002,1077521,17069,1060452,4503,363,4140,1064592,0,17135,0
S19-7,Punjab-S19,Ludhiana-GEN,1721,19/05/2019,23/05/2019,23/05/2019,RAVNEET SINGH BITTU,Indian National Congress,383795,SIMARJEET SINGH BAINS,Lok Insaaf Party,307423,76372,25,3,0,22,19,3,2,1,0,0,0,0,0,0,0,28,5,1,22,19,901283,30,2311,903624,779554,15,61,779630,71,0,0,71,1680908,45,2372,1683325,576920,0,NA,NA,NA,NA,NA,467949,0,NA,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,1044888,0,0,2137,1047025,0,62.200000000000003,1044888,10458,1034430,2137,150,1987,1036417,0,10538,3
S19-8,Punjab-S19,Fatehgarh Sahib-SC,1750,19/05/2019,23/05/2019,23/05/2019,AMAR SINGH,Indian National Congress,411651,DARBARA SINGH GURU,Shiromani Akali Dal,317753,93898,23,4,0,19,17,4,1,2,1,1,0,0,0,0,0,27,5,2,20,18,794407,23,5301,799731,702976,14,109,703099,31,0,0,31,1497414,37,5410,1502861,534374,1,NA,NA,NA,NA,NA,449101,0,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,983485,1,0,3675,987161,0,65.599999999999994,983486,12985,970501,3675,1273,2402,972903,0,13045,1
S19-9,Punjab-S19,Faridkot-SC,1613,19/05/2019,23/05/2019,23/05/2019,Mohammad Sadique,Indian National Congress,419065,Gulzar Singh Ranike,Shiromani Akali Dal,335809,83256,20,2,1,17,15,5,1,1,3,3,0,0,0,0,0,25,3,2,20,18,812117,24,6103,818244,723523,15,152,723690,37,0,0,37,1535677,39,6255,1541971,524950,2,NA,NA,NA,NA,NA,446044,0,NA,NA,NA,NA,NA,13,0,NA,NA,NA,NA,NA,971007,2,0,4233,975242,0,63.229999999999997,971009,19053,951956,4233,488,3745,955701,0,19246,1
S19-10,Punjab-S19,Firozpur-GEN,1805,19/05/2019,23/05/2019,23/05/2019,SUKHBIR SINGH BADAL,Shiromani Akali Dal,633427,SHER SINGH GHUBAYA,Indian National Congress,434577,198850,23,1,0,22,20,2,2,0,0,0,0,0,0,0,0,25,3,0,22,20,858498,12,4445,862955,755291,6,132,755429,35,0,0,35,1613824,18,4577,1618419,625836,0,NA,NA,NA,NA,NA,540872,0,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1166717,0,0,6084,1172801,0,72.420000000000002,1166717,14436,1152281,6084,1223,4861,1157142,0,14891,1
S19-11,Punjab-S19,Bathinda-GEN,1729,19/05/2019,23/05/2019,23/05/2019,Harsimrat Kaur Badal,Shiromani Akali Dal,492824,Amrinder Singh Raja Warring,Indian National Congress,471052,21772,30,3,4,23,22,6,2,0,4,3,0,0,0,0,0,36,5,4,27,25,853494,7,7886,861387,760089,6,169,760264,20,0,0,20,1613603,13,8055,1621671,639645,1,NA,NA,NA,NA,NA,556155,0,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1195809,1,0,6783,1202593,0,74.049999999999997,1195810,13220,1182590,6783,1886,4897,1187487,0,13323,5
S19-12,Punjab-S19,Sangrur-GEN,1627,19/05/2019,23/05/2019,23/05/2019,BHAGWANT MANN,Aam Aadmi Party,413561,KEWAL SINGH DHILLON,Indian National Congress,303350,110211,26,3,1,22,19,5,1,1,3,3,0,0,0,0,0,31,4,2,25,22,807270,21,7564,814855,714421,10,120,714551,25,0,0,25,1521716,31,7684,1529431,595750,0,NA,NA,NA,NA,NA,506594,0,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1102353,0,0,4903,1107256,0,72.310000000000002,1102353,6426,1095927,4903,1432,3471,1099398,0,6490,2
S19-13,Punjab-S19,Patiala-GEN,1922,19/05/2019,23/05/2019,23/05/2019,Preneet Kaur,Indian National Congress,532027,Surjit Singh Rakhra,Shiromani Akali Dal,369309,162718,31,4,4,23,22,2,0,0,2,1,0,0,0,0,0,33,4,4,25,23,909380,27,5200,914607,824754,10,155,824919,74,0,0,74,1734208,37,5355,1739600,632621,0,NA,NA,NA,NA,NA,542886,0,NA,NA,NA,NA,NA,21,0,NA,NA,NA,NA,NA,1175528,0,0,3319,1178847,0,67.709999999999994,1175528,11081,1164447,3319,973,2346,1166793,0,11110,0
S20-1,Rajasthan-S20,Ganganagar-SC,2024,06/05/2019,23/05/2019,23/05/2019,NIHAL CHAND,Bharatiya Janata Party,897177,BHARAT RAM MEGHWAL,Indian National Congress,490199,406978,11,2,0,9,7,0,0,0,0,0,0,0,0,0,0,11,2,0,9,7,1016051,1,1748,1017800,925579,0,82,925661,25,0,0,25,1941655,1,1830,1943486,763551,0,NA,NA,NA,NA,NA,680832,0,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,NA,1444394,0,0,8691,1453085,0,74.700000000000003,1444394,15420,1428974,8691,1443,7248,1436222,0,15543,28
S20-2,Rajasthan-S20,Bikaner (SC)-SC,1829,06/05/2019,23/05/2019,23/05/2019,ARJUN RAM MEGHWAL,Bharatiya Janata Party,657743,MADAN GOPAL MEGHWAL,Indian National Congress,393662,264081,12,2,1,9,7,0,0,0,0,0,0,0,0,0,0,12,2,1,9,7,976006,2,2114,978122,873411,0,79,873490,16,0,0,16,1849433,2,2193,1851628,613781,0,NA,NA,NA,NA,NA,481912,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1095698,0,0,4802,1100500,0,59.390000000000001,1095698,13426,1082272,4802,986,3816,1086088,0,13510,27
S20-3,Rajasthan-S20,Churu-GEN,2068,06/05/2019,23/05/2019,23/05/2019,RAHUL KASWAN,Bharatiya Janata Party,792999,RAFIQUE MANDELIA,Indian National Congress,458597,334402,15,NA,5,10,8,2,0,0,2,2,0,0,0,0,0,17,0,5,12,10,1053441,NA,8393,1061834,957018,0,247,957265,5,0,0,5,2010464,0,8640,2019104,687931,0,NA,NA,NA,NA,NA,632219,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1320151,0,0,10521,1330672,0,65.790000000000006,1320151,9933,1310218,10521,2295,8226,1318444,0,9978,34
S20-4,Rajasthan-S20,Jhunjhunu-GEN,2009,06/05/2019,23/05/2019,23/05/2019,NARENDRA KUMAR,Bharatiya Janata Party,738163,SHARWAN KUMAR S/O GOKAL RAM,Indian National Congress,435616,302547,17,4,1,12,10,0,0,0,0,0,0,0,0,0,0,17,4,1,12,10,995076,NA,28114,1023190,913810,0,881,914691,1,0,0,1,1908887,0,28995,1937882,601852,0,NA,NA,NA,NA,NA,578034,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1179887,0,0,23815,1203702,0,61.869999999999997,1179887,8415,1171472,23815,4857,18958,1190430,0,8497,20
S20-5,Rajasthan-S20,Sikar-GEN,2046,06/05/2019,23/05/2019,23/05/2019,Sumedhanand Saraswati,Bharatiya Janata Party,772104,Subhash Maharia,Indian National Congress,474948,297156,16,4,1,11,9,1,0,0,1,1,0,0,0,0,0,17,4,1,12,10,1060756,NA,16335,1077091,964070,0,447,964517,4,0,0,4,2024830,0,16782,2041612,667944,0,NA,NA,NA,NA,NA,643401,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,1311349,0,0,19312,1330661,0,65,1311349,7754,1303595,19312,3754,15558,1319153,0,7816,8
S20-6,Rajasthan-S20,Jaipur Rural-GEN,2025,06/05/2019,23/05/2019,23/05/2019,COL. RAJYAVARDHAN RATHORE,Bharatiya Janata Party,820132,KRISHNA POONIA,Indian National Congress,426961,393171,9,NA,2,7,6,2,0,1,1,0,0,0,0,0,0,11,0,3,8,6,1022367,10,8867,1031244,921101,3,189,921293,5,0,0,5,1943473,13,9056,1952542,675930,0,NA,NA,NA,NA,NA,587365,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1263296,0,0,16371,1279667,0,65.390000000000001,1263296,9313,1253983,16371,3012,13359,1267342,0,9351,12
S20-7,Rajasthan-S20,Jaipur-GEN,1873,06/05/2019,23/05/2019,23/05/2019,Ramcharan Bohra,Bharatiya Janata Party,924065,Jyoti Khandelwal,Indian National Congress,493439,430626,30,5,5,20,19,4,0,0,4,3,0,0,0,0,0,34,5,5,24,22,1118238,65,1174,1119477,1007352,38,129,1007519,25,0,0,25,2125615,103,1303,2127021,784372,0,NA,NA,NA,NA,NA,663540,0,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,1447924,0,0,8582,1456506,0,68.469999999999999,1447924,6455,1441469,8582,169,8413,1449882,0,6522,43
S20-8,Rajasthan-S20,Alwar-GEN,1991,06/05/2019,23/05/2019,23/05/2019,Balak Nath,Bharatiya Janata Party,760201,Bhanwar Jitendra Singh,Indian National Congress,430230,329971,12,NA,1,11,9,1,1,0,0,0,0,0,0,0,0,13,1,1,11,9,987860,3,14625,1002488,885745,0,281,886026,10,0,0,10,1873615,3,14906,1888524,673164,0,NA,NA,NA,NA,NA,579086,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1252253,0,0,16224,1268477,0,67.019999999999996,1252253,5331,1246922,16224,2857,13367,1260289,0,5385,3
S20-9,Rajasthan-S20,BHARATPUR-SC,2006,06/05/2019,23/05/2019,23/05/2019,RANJEETA KOLI,Bharatiya Janata Party,707992,ABHIJEET KUMAR JATAV,Indian National Congress,389593,318399,8,1,0,7,6,2,1,0,1,0,0,0,0,0,0,10,2,0,8,6,1031947,NA,9428,1041375,902218,0,190,902408,11,0,0,11,1934176,0,9618,1943794,620165,0,NA,NA,NA,NA,NA,517998,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1138168,0,0,10803,1148971,0,59,1138168,5583,1132585,10803,2229,8574,1141159,0,5638,2
