sheet,state_name,constituency_name,number_of_polling_stations,dates_polling,dates_counting,dates_results,result_winner_name,result_winner_party,result_winner_votes,result_runner_up_name,result_runner_up_party,result_runner_up_votes,result_margin,candidate_Nominated_m,candidate_Nomination Rejected_m,candidate_Withdrawn_m,candidate_Contested_m,candidate_Forfeited Deposit_m,candidate_Nominated_w,candidate_Nomination Rejected_w,candidate_Withdrawn_w,candidate_Contested_w,candidate_Forfeited Deposit_w,candidate_Nominated_t,candidate_Nomination Rejected_t,candidate_Withdrawn_t,candidate_Contested_t,candidate_Forfeited Deposit_t,candidate_Nominated_total,candidate_Nomination Rejected_total,candidate_Withdrawn_total,candidate_Contested_total,candidate_Forfeited Deposit_total,elector_General_m,elector_OverSeas_m,elector_Service_m,elector_Total_m,elector_General_w,elector_OverSeas_w,elector_Service_w,elector_Total_w,elector_General_t,elector_OverSeas_t,elector_Service_t,elector_Total_t,elector_General_total,elector_OverSeas_total,elector_Service_total,elector_Total_total,voter_General_m,voter_Overseas_m,voter_Proxy_m,voter_Postal_m,voter_Total_m,voter_Votes Rejected due to other Reason_m,voter_POLLING PERCENTAGE_m,voter_General_w,voter_Overseas_w,voter_Proxy_w,voter_Postal_w,voter_Total_w,voter_Votes Rejected due to other Reason_w,voter_POLLING PERCENTAGE_w,voter_General_t,voter_Overseas_t,voter_Proxy_t,voter_Postal_t,voter_Total_t,voter_Votes Rejected due to other Reason_t,voter_POLLING PERCENTAGE_t,voter_General_total,voter_Overseas_total,voter_Proxy_total,voter_Postal_total,voter_Total_total,voter_Votes Rejected due to other Reason_total,voter_POLLING PERCENTAGE_total,votes_Total Votes Polled On EVM,votes_Total Deducted Votes From EVM,votes_Total Valid Votes polled on EVM,votes_Postal Votes Counted,votes_Postal Votes Deducted,votes_Valid Postal Votes,votes_Total Valid Votes Polled,votes_Test Votes polled On EVM,votes_Votes Polled for 'NOTA'(Including Postal),votes_Tendered Votes
S25-20,West Bengal-S25,Mathurapur-SC,1848,19/05/2019,23/05/2019,23/05/2019,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,726828,SHYAMAPRASAD HALDER,Bharatiya Janata Party,522854,203974,9,NA,0,9,7,0,0,0,0,0,0,0,0,0,0,9,0,0,9,7,851899,NA,980,852879,799160,0,29,799189,28,0,0,28,1651087,0,1009,1652096,722868,0,NA,NA,NA,NA,NA,678047,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,1400919,0,0,1100,1402019,0,84.859999999999999,1400920,6905,1394015,1100,72,1028,1395043,1,6910,20
S25-21,West Bengal-S25,Diamond harbour-GEN,1912,19/05/2019,23/05/2019,23/05/2019,ABHISHEK BANERJEE,All India Trinamool Congress,791127,NILANJAN ROY,Bharatiya Janata Party,470533,320594,10,1,0,9,7,1,0,0,1,1,0,0,0,0,0,11,1,0,10,8,886338,1,711,887050,832059,0,25,832084,56,0,0,56,1718453,1,736,1719190,745450,0,NA,NA,NA,NA,NA,662528,0,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1407987,0,0,1386,1409373,0,81.959999999999994,1407987,16242,1391745,1386,376,1010,1392755,0,16247,18
S25-22,West Bengal-S25,Jadavpur-GEN,2042,19/05/2019,23/05/2019,23/05/2019,MIMI CHAKRABORTY,All India Trinamool Congress,688472,ANUPAM HAZRA,Bharatiya Janata Party,393233,295239,13,4,0,9,7,5,1,0,4,3,0,0,0,0,0,18,5,0,13,10,909067,4,686,909757,906965,6,54,907025,75,0,0,75,1816107,10,740,1816857,743145,0,NA,NA,NA,NA,NA,691668,0,NA,NA,NA,NA,NA,13,0,NA,NA,NA,NA,NA,1434826,0,0,2457,1437283,0,79.090000000000003,1434826,15516,1419310,2457,414,2043,1421353,0,15541,12
S25-23,West Bengal-S25,Kolkata Dakshin-GEN,2031,19/05/2019,23/05/2019,23/05/2019,Mala Roy,All India Trinamool Congress,573119,Chandra Kumar Bose,Bharatiya Janata Party,417927,155192,12,3,0,9,8,4,0,0,4,3,0,0,0,0,0,16,3,0,13,11,896368,1,536,896905,831858,0,55,831913,33,0,0,33,1728259,1,591,1728851,638271,0,NA,NA,NA,NA,NA,565962,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1204236,0,0,2840,1207076,0,69.790000000000006,1204236,14780,1189456,2840,475,2365,1191821,0,14824,4
S25-24,West Bengal-S25,Kolkata Uttar-GEN,1862,19/05/2019,23/05/2019,23/05/2019,BANDYOPADHYAY SUDIP,All India Trinamool Congress,474891,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,347796,127095,19,NA,0,19,17,2,0,0,2,2,0,0,0,0,0,21,0,0,21,19,794275,NA,251,794526,649528,0,13,649541,15,0,0,15,1443818,0,264,1444082,527881,0,NA,NA,NA,NA,NA,421566,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,949453,0,0,1186,950639,0,65.829999999999998,949453,6724,942729,1186,38,1148,943877,0,6736,0
S25-25,West Bengal-S25,Howrah-GEN,1868,06/05/2019,23/05/2019,23/05/2019,Prasun Banerjee,All India Trinamool Congress,576711,Rantidev Sengupta,Bharatiya Janata Party,473016,103695,20,2,0,18,16,1,0,0,1,1,0,0,0,0,0,21,2,0,19,17,852985,NA,696,853681,780190,0,28,780218,26,0,0,26,1633201,0,724,1633925,656812,0,NA,NA,NA,NA,NA,564529,0,NA,NA,NA,NA,NA,18,0,NA,NA,NA,NA,NA,1221359,0,0,1349,1222708,0,74.810000000000002,1221359,6325,1215034,1349,427,922,1215956,0,6337,7
S25-26,West Bengal-S25,Uluberia-GEN,1826,06/05/2019,23/05/2019,23/05/2019,SAJDA AHMED,All India Trinamool Congress,694945,JOY BANERJEE,Bharatiya Janata Party,479586,215359,6,NA,0,6,5,4,0,0,4,3,0,0,0,0,0,10,0,0,10,8,831593,NA,927,832520,782405,0,22,782427,41,0,0,41,1614039,0,949,1614988,676981,0,NA,NA,NA,NA,NA,633018,0,NA,NA,NA,NA,NA,18,0,NA,NA,NA,NA,NA,1310017,0,0,1103,1311120,0,81.180000000000007,1310017,9395,1300622,1103,25,1078,1301700,0,9399,0
S25-27,West Bengal-S25,Srerampur-GEN,2033,06/05/2019,23/05/2019,23/05/2019,KALYAN BANERJEE,All India Trinamool Congress,637707,DEBJIT SARKAR,Bharatiya Janata Party,539171,98536,11,NA,0,11,9,0,0,0,0,0,0,0,0,0,0,11,0,0,11,9,914863,NA,1417,916280,869085,0,69,869154,38,0,0,38,1783986,0,1486,1785472,722334,0,NA,NA,NA,NA,NA,677696,0,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,1400042,0,0,2217,1402259,0,78.510000000000005,1400042,20486,1379556,2217,569,1648,1381204,0,20501,7
S25-28,West Bengal-S25,Hooghly-GEN,2039,06/05/2019,23/05/2019,23/05/2019,LOCKET CHATTERJEE,Bharatiya Janata Party,671448,DR. RATNA DE (NAG),All India Trinamool Congress,598086,73362,7,NA,0,7,7,2,0,0,2,0,0,0,0,0,0,9,0,0,9,7,890036,8,1862,891906,874548,1,110,874659,36,0,0,36,1764620,9,1972,1766601,735764,0,NA,NA,NA,NA,NA,719695,0,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1455468,0,0,3166,1458634,0,82.519999999999996,1455468,13498,1441970,3166,819,2347,1444317,0,13525,3
S25-29,West Bengal-S25,Arambagh-SC,2058,06/05/2019,23/05/2019,23/05/2019,APARUPA PODDAR (AFRIN ALI),All India Trinamool Congress,649929,TAPAN KUMAR RAY,Bharatiya Janata Party,648787,1142,7,NA,0,7,6,2,0,0,2,1,0,0,0,0,0,9,0,0,9,7,904546,NA,1686,906232,858431,0,45,858476,18,0,0,18,1762995,0,1731,1764726,745780,0,NA,NA,NA,NA,NA,724650,0,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1470432,0,0,2030,1472462,0,83.409999999999997,1470432,20484,1449948,2030,492,1538,1451486,0,20495,3
S25-30,West Bengal-S25,Tamluk-GEN,1891,12/05/2019,23/05/2019,23/05/2019,Adhikari Dibyendu,All India Trinamool Congress,724433,Sidharthashankar Naskar,Bharatiya Janata Party,534268,190165,12,NA,0,12,10,0,0,0,0,0,0,0,0,0,0,12,0,0,12,10,875516,NA,2537,878053,816491,0,69,816560,33,0,0,33,1692040,0,2606,1694646,731556,0,NA,NA,NA,NA,NA,712353,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1443916,0,0,3024,1446940,0,85.359999999999999,1443916,10513,1433403,3024,461,2563,1435966,0,10533,5
S25-31,West Bengal-S25,Kanthi-GEN,1860,12/05/2019,23/05/2019,23/05/2019,Adhikari Sisir,All India Trinamool Congress,711872,Dr. Debasis Samanta,Bharatiya Janata Party,600204,111668,9,2,0,7,5,0,0,0,0,0,0,0,0,0,0,9,2,0,7,5,856922,NA,2998,859920,800135,0,81,800216,11,0,0,11,1657068,0,3079,1660147,723072,0,NA,NA,NA,NA,NA,698678,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1421750,0,0,3216,1424966,0,85.790000000000006,1421750,8679,1413071,3216,727,2489,1415560,0,8687,18
S25-32,West Bengal-S25,Ghatal-GEN,2074,12/05/2019,23/05/2019,23/05/2019,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,717959,BHARATI GHOSH,Bharatiya Janata Party,609986,107973,6,NA,0,6,5,1,0,0,1,0,0,0,0,0,0,7,0,0,7,5,921051,NA,2243,923294,876615,0,73,876688,20,0,0,20,1797686,0,2316,1800002,738122,0,NA,NA,NA,NA,NA,748473,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1486600,0,0,2738,1489338,0,82.709999999999994,1486600,13796,1472804,2738,534,2204,1475008,0,13810,5
S25-33,West Bengal-S25,Jhargram-ST,1994,12/05/2019,23/05/2019,23/05/2019,Kunar Hembram,Bharatiya Janata Party,626583,Birbaha Saren,All India Trinamool Congress,614816,11767,10,3,1,6,5,3,0,0,3,2,0,0,0,0,0,13,3,1,9,7,827037,1,2427,829465,812336,0,54,812390,13,0,0,13,1639386,1,2481,1641868,710101,0,NA,NA,NA,NA,NA,691203,0,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1401306,0,0,5925,1407231,0,85.650000000000006,1401306,17664,1383642,5925,1045,4880,1388522,0,17692,31
S25-34,West Bengal-S25,Medinipur-GEN,1930,12/05/2019,23/05/2019,23/05/2019,Dilip Ghosh,Bharatiya Janata Party,685433,Manas Ranjan Bhunia,All India Trinamool Congress,596481,88952,9,NA,0,9,7,0,0,0,0,0,0,0,0,0,0,9,0,0,9,7,846409,NA,1782,848191,825954,0,75,826029,16,0,0,16,1672379,0,1857,1674236,713838,0,NA,NA,NA,NA,NA,693138,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1406977,0,0,3344,1410321,0,84.209999999999994,1406977,14729,1392248,3344,535,2809,1395057,0,14758,18
S25-35,West Bengal-S25,Purulia-GEN,1873,12/05/2019,23/05/2019,23/05/2019,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,668107,Dr. MRIGANKA MAHATO,All India Trinamool Congress,463375,204732,14,NA,0,14,12,1,0,0,1,1,0,0,0,0,0,15,0,0,15,13,840972,NA,2233,843205,802592,0,78,802670,9,0,0,9,1643573,0,2311,1645884,695989,0,NA,NA,NA,NA,NA,656252,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1352242,0,0,3619,1355861,0,82.340000000000003,1352242,11304,1340938,3619,643,2976,1343914,0,11322,10
S25-36,West Bengal-S25,Bankura-GEN,1936,12/05/2019,23/05/2019,23/05/2019,DR. SUBHAS SARKAR,Bharatiya Janata Party,675319,SUBRATA MUKHERJEE,All India Trinamool Congress,500986,174333,20,4,1,15,13,0,0,0,0,0,0,0,0,0,0,20,4,1,15,13,837180,NA,4259,841439,807335,0,123,807458,9,0,0,9,1644524,0,4382,1648906,703940,0,NA,NA,NA,NA,NA,663542,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1367485,0,0,5160,1372645,0,83.200000000000003,1367485,13987,1353498,5160,822,4338,1357836,0,14019,21
S25-37,West Bengal-S25,Bishnupur-SC,1870,12/05/2019,23/05/2019,23/05/2019,KHAN SAUMITRA,Bharatiya Janata Party,657019,SHYAMAL SANTRA,All India Trinamool Congress,578972,78047,9,NA,0,9,7,0,0,0,0,0,0,0,0,0,0,9,0,0,9,7,828805,NA,3980,832785,794282,0,124,794406,8,0,0,8,1623095,0,4104,1627199,731565,0,NA,NA,NA,NA,NA,686305,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1417871,0,0,3320,1421191,0,87.310000000000002,1417872,14415,1403457,3320,565,2755,1406212,1,14436,5
