state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,voter_POLLING PERCENTAGE_total,result_margin,votes_Total Valid Votes Polled,state_name_updated,constituency_name_updated,constituency_type_updated,country,id
Bihar-S04,Sasaram (SC)-SC,S04-34,935244,848529,531450,437794,10,3,54.52,165745,955761,Bihar,Sasaram (SC),SC,IN,75
Bihar-S04,Karakat-GEN,S04-35,931442,833563,483732,380773,22,5,49.05,84542,846694,Bihar,Karakat,GEN,IN,76
Bihar-S04,Jahanabad-GEN,S04-36,822285,758237,443543,373430,11,2,51.75,1751,794382,Bihar,Jahanabad,GEN,IN,77
Bihar-S04,Aurangabad-GEN,S04-37,916759,822450,485950,446877,9,0,53.64,70552,912477,Bihar,Aurangabad,GEN,IN,78
Bihar-S04,Gaya (SC)-SC,S04-38,880201,820382,499260,455841,13,0,56.16,152426,927218,Bihar,Gaya (SC),SC,IN,79
Bihar-S04,Nawada-GEN,S04-39,985272,910920,482016,453338,11,2,49.61,148072,907315,Bihar,Nawada,GEN,IN,80
Bihar-S04,Jamui (SC)-SC,S04-40,908843,806970,479673,467631,8,1,55.22,241049,909641,Bihar,Jamui (SC),SC,IN,81
Goa-S05,North Goa-GEN,S05-1,272174,284425,209593,218000,5,1,76.99,80247,421565,Goa,North Goa,GEN,IN,82
Goa-S05,South Goa-GEN,S05-2,283546,295598,199877,223780,5,1,73.28,9755,419139,Goa,South Goa,GEN,IN,83
Gujarat-S06,Kachchh-SC,S06-1,908805,834994,550098,465094,8,2,58.66,305513,1004437,Gujarat,Kachchh,SC,IN,84
Gujarat-S06,Banaskantha-GEN,S06-2,889560,806548,614524,482443,11,3,64.93,368296,1089353,Gujarat,Banaskantha,GEN,IN,85
Gujarat-S06,Patan-GEN,S06-3,936817,868384,610449,509917,12,0,62.33,193879,1111929,Gujarat,Patan,GEN,IN,86
Gujarat-S06,Mahesana-GEN,S06-4,853191,794233,584781,492257,10,2,65.62,281519,1069871,Gujarat,Mahesana,GEN,IN,87
Gujarat-S06,Sabarkantha-GEN,S06-5,921440,875714,645239,562915,20,0,67.62,268986,1212250,Gujarat,Sabarkantha,GEN,IN,88
Gujarat-S06,Gandhinagar-GEN,S06-6,1003629,941373,689408,586038,16,1,65.99,557014,1269876,Gujarat,Gandhinagar,GEN,IN,89
Gujarat-S06,Ahmedabad East-GEN,S06-7,954040,855716,619676,489608,22,3,61.61,434330,1107359,Gujarat,Ahmedabad East,GEN,IN,90
