state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,polling_percentage,result_margin,votes_Total Valid Votes Polled,constituency_name_updated,constituency_type_updated,country,id,state_name_dm,constituency_name_dm,flag_more_women,eligible_vote_w,eligible_vote_m,flag_eligible_women,flag_contested_w,margin_ratio,state_name_updated,median_age,GENERAL,SC,ST,median_age_bucket,flag_contested_w_40
Uttarakhand-S28,Hardwar-GEN,S28-5,980529,854878,671478,593713,14,1,69.05,258729,1264749,Hardwar,GEN,IN,513,uttarakhand,haridwar,m,0.6945002678744804,0.6848119739446769,w,yes,20.456944421383216,Uttarakhand,45,14,1,0,2,no
Telangana-S29,Adilabad -ST,S29-1,730233,758064,523054,539832,10,1,71.4,58560,1050694,Adilabad,ST,IN,514,telangana,adilabad,w,0.7121192933578168,0.7162837067073112,m,yes,5.573459066102976,Telangana,46,0,0,11,2,no
Telangana-S29,Peddapalle -SC,S29-2,739571,738338,484439,484738,15,2,65.58,95180,961080,Peddapalle,SC,IN,515,telangana,peddapalli,w,0.6565258729741663,0.6550270359438106,w,yes,9.903441961127065,Telangana,42,0,17,0,1,no
Telangana-S29,Karimnagar -GEN,S29-3,815145,835615,558800,588108,14,1,69.49,89508,1139718,Karimnagar,GEN,IN,516,telangana,karimnagar,w,0.7038025885126523,0.6855222077053775,w,yes,7.853521660621311,Telangana,38,13,2,0,1,no
Telangana-S29,Nizamabad-GEN,S29-4,737445,815259,474024,587594,183,2,68.42,70875,1060737,Nizamabad,GEN,IN,517,telangana,nizamabad,w,0.7207451864990144,0.6427923438358115,w,yes,6.681675099482718,Telangana,39,152,30,3,1,no
Telangana-S29,Zahirabad-GEN,S29-5,737455,760455,514518,529323,11,1,69.69,6229,1033225,Zahirabad,GEN,IN,518,telangana,zahirabad,w,0.6960609109020257,0.6976940965889444,m,yes,0.6028696556897094,Telangana,46.5,10,2,0,2,no
Telangana-S29,Medak-GEN,S29-6,798836,804070,581947,567533,10,0,71.74,316427,1134833,Medak,GEN,IN,519,telangana,medak,m,0.7058253634633801,0.7284937083456429,m,no,27.883133465452627,Telangana,47.5,9,1,0,2,no
Telangana-S29,Malkajgiri-GEN,S29-7,1637281,1511786,823072,738294,11,1,49.62,10919,1545168,Malkajgiri,GEN,IN,520,telangana,malkajgiri,m,0.488358802105589,0.5027066215267874,m,yes,0.7066545514791919,Telangana,43,9,3,0,1,no
Telangana-S29,Secundrabad-GEN,S29-8,1024704,943107,488024,426124,26,2,46.49,62114,906068,Secundrabad,GEN,IN,521,telangana,secunderabad,m,0.45182996202975906,0.47625850977453,m,yes,6.855335361142872,Telangana,43,19,6,3,1,no
Telangana-S29,Hyderabad-GEN,S29-9,1012229,945250,479564,397698,15,0,44.84,282186,872219,Hyderabad,GEN,IN,522,telangana,hyderabad,m,0.4207331393811161,0.4737702634482909,m,no,32.3526545512079,Telangana,46,13,2,0,2,no
Telangana-S29,CHEVELLA-GEN,S29-10,1264060,1178245,678645,620290,21,2,53.22,14317,1290950,CHEVELLA,GEN,IN,523,telangana,chevella,m,0.5264524780499811,0.5368772051959559,m,yes,1.1090282350207212,Telangana,39,12,9,2,1,no
Telangana-S29,Mahbubnagar-GEN,S29-11,751177,753933,494155,489732,11,1,65.38,77829,974034,Mahbubnagar,GEN,IN,524,telangana,mahabubnagar,m,0.6495696567201595,0.6578409615842871,m,yes,7.990378159283967,Telangana,46,10,1,1,2,no
Telangana-S29,Nagarkurnool-SC,S29-12,797668,789574,502620,486427,8,3,62.33,189748,976322,Nagarkurnool,SC,IN,525,telangana,nagarkurnool,m,0.6160625856474504,0.6301117758265343,m,yes,19.43498149176194,Telangana,43,0,11,0,1,no
Telangana-S29,Nalgonda-GEN,S29-13,784008,801275,585803,588944,25,2,74.13,25682,1170143,Nalgonda,GEN,IN,526,telangana,nalgonda,w,0.7350085800755046,0.7471900796930644,m,yes,2.1947744848279225,Telangana,42,16,6,5,1,no
Telangana-S29,Bhongir -GEN,S29-14,818572,808925,616922,594332,13,0,74.48,5219,1200610,Bhongir,GEN,IN,527,telangana,bhuvanagiri,m,0.7347182989770374,0.75365636743011,m,no,0.43469569635435323,Telangana,46,8,4,1,2,no
Telangana-S29,Warangal-SC,S29-15,828882,837021,530268,530078,13,2,63.69,350298,1042844,Warangal,SC,IN,528,telangana,warangal,m,0.6332911599589497,0.639738828928605,m,yes,33.590642512207005,Telangana,46,0,14,1,2,no
Telangana-S29,Mahabubabad  -ST,S29-16,701892,721380,485104,497622,10,4,69.05,146663,969453,Mahabubabad,ST,IN,529,telangana,mahabubabad,w,0.6898195126008484,0.6911376679033242,m,yes,15.128428092955511,Telangana,40,0,0,14,1,no
Telangana-S29,Khammam -GEN,S29-17,739482,773402,559568,578825,22,1,75.3,168062,1123999,Khammam,GEN,IN,530,telangana,khammam,w,0.7484141494332831,0.7567026648383598,m,yes,14.952148533939976,Telangana,49,14,6,3,2,no
Andaman & Nicobar Islands-U01,Andaman & Nicobar Islands-GEN,U01-1,168701,149168,109407,97671,14,1,65.09,1407,205884,Andaman & Nicobar Islands,GEN,IN,531,andaman and nicobar,andaman and nicobar islands,m,0.6547718009224499,0.6485260905388824,w,yes,0.6833945328437373,Andaman & Nicobar Islands,50,14,1,0,2,no
Chandigarh-U02,CHANDIGARH-GEN,U02-1,341618,304411,240634,215557,27,9,70.6,46970,452233,CHANDIGARH,GEN,IN,532,chandigarh,chandigarh,m,0.7081117305222216,0.7043949674782944,w,yes,10.386238952044632,Chandigarh,47,25,11,0,2,no
Dadra & Nagar Haveli-U03,Dadra And Nagar Haveli-ST,U03-1,132389,117629,103446,95479,10,1,79.58,9001,196033,Dadra And Nagar Haveli,ST,IN,533,dadra and nagar haveli,dadra and nagar haveli,m,0.8116960953506364,0.7813791176004049,w,yes,4.591573867665137,Dadra & Nagar Haveli,35,0,0,11,1,no
Daman & Diu-U04,Daman & diu-GEN,U04-1,60978,60726,41600,45841,4,0,71.85,9942,85982,Daman & diu,GEN,IN,534,daman and diu,daman and diu,w,0.7548825873596153,0.6822132572403162,w,no,11.562885255053382,Daman & Diu,43,4,0,0,1,no
NCT OF Delhi-U05,CHANDNI CHOWK                 -GEN,U05-1,848303,713393,540841,438037,21,5,62.75,228145,975257,CHANDNI CHOWK,GEN,IN,535,delhi,chandni chowk,m,0.6140192011976568,0.6375563919967275,m,yes,23.39332094001889,NCT OF Delhi,46,21,5,0,2,no
NCT OF Delhi-U05,NORTH EAST DELHI              -GEN,U05-2,1252189,1037218,807473,650546,23,1,63.81,366102,1456886,NORTH EAST DELHI,GEN,IN,536,delhi,north east delhi,m,0.6272027674028025,0.6448491401857068,m,yes,25.129076674496154,NCT OF Delhi,43,22,2,0,1,no
NCT OF Delhi-U05,EAST DELHI                    -GEN,U05-3,1128885,909306,694305,561981,22,4,61.68,391222,1252901,EAST DELHI,GEN,IN,537,delhi,east delhi,m,0.6180328734221483,0.6150360754195512,w,yes,31.225292341533766,NCT OF Delhi,42.5,23,3,0,1,no
NCT OF Delhi-U05,NEW DELHI                     -GEN,U05-4,894985,720840,506403,412647,25,2,56.91,256504,913940,NEW DELHI,GEN,IN,538,delhi,new delhi,m,0.5724529715332113,0.5658228908864394,w,yes,28.065737356938094,NCT OF Delhi,49,25,2,0,2,no
NCT OF Delhi-U05,NORTH WEST DELHI              -SC,U05-5,1304555,1072891,775650,626168,10,1,58.97,553897,1392752,NORTH WEST DELHI,SC,IN,539,delhi,north west delhi,m,0.5836268549181604,0.594570562375676,m,yes,39.76996622514274,NCT OF Delhi,53,0,11,0,2,no
NCT OF Delhi-U05,WEST DELHI                    -GEN,U05-6,1276652,1090797,780000,657076,22,1,60.78,578486,1432664,WEST DELHI,GEN,IN,540,delhi,west delhi,m,0.6023815613720976,0.6109730764530976,m,yes,40.3783441197657,NCT OF Delhi,51,19,4,0,2,no
NCT OF Delhi-U05,SOUTH DELHI                   -GEN,U05-7,1167359,898266,683436,529057,25,2,58.73,367043,1208958,SOUTH DELHI,GEN,IN,541,delhi,south delhi,m,0.5889758712897961,0.5854548600730367,w,yes,30.360277197388164,NCT OF Delhi,44,23,4,0,1,no
Lakshadweep-U06,Lakshadweep-ST,U06-1,27921,27136,23328,23549,6,0,85.18,823,46909,Lakshadweep,ST,IN,542,lakshadweep,lakshadweep,w,0.8678139740566038,0.8355001611690126,w,no,1.754460764458846,Lakshadweep,41,0,0,6,1,no
Puducherry-U07,Puducherry-GEN,U07-1,459022,513771,371347,418834,16,2,81.24,197025,778561,Puducherry,GEN,IN,543,puducherry,puducherry,w,0.8152153391296901,0.8089960829764151,w,yes,25.306302267901938,Puducherry,47.5,14,4,0,2,no
